id,institution,category,subject,language,pdf_url,local_path
118,Banaras Hindu University,admission,BHU_Registration_Live_2026.pdf,English,https://storage.bhu.ac.in/strapi-media/uploads/BHU_Registration_Live_2026_5fbe74114f.pdf,data/raw/pdfs/0118.pdf
119,Banaras Hindu University,admission,CAP_PG_RK_1952026.pdf,English,https://storage.bhu.ac.in/strapi-media/uploads/CAP_PG_RK_1952026_3a2c27b692.pdf,data/raw/pdfs/0119.pdf
120,Banaras Hindu University,admission,Ph.D. Ordinance Attachment,English,https://storage.bhu.ac.in/strapi-media/uploads/Ph_D_Ordinance_2016_e20f7da0fc.pdf,data/raw/pdfs/0120.pdf
121,Banaras Hindu University,admission,PG Reporting Form Attachment,English,https://storage.bhu.ac.in/strapi-media/uploads/Supporting_Document_64f60685ab.pdf,data/raw/pdfs/0121.pdf
122,Banaras Hindu University,admission,UG Reporting Form Attachment,English,https://storage.bhu.ac.in/strapi-media/uploads/BHU_UG_Reporting_documents_2026_4d7c118076.pdf,data/raw/pdfs/0122.pdf
123,Indian Institute of Technology Bombay,announcements,Code of Conduct,English,https://www.iitb.ac.in/sites/default/files/2025-11/campusCodeOfConduct.pdf,data/raw/pdfs/0123.pdf
126,Indian Institute of Technology Bombay,academic,Office Memorandum for Scholarships/ Remission of fees UG & M.Sc. students (2026 Batch),English,https://acad.iitb.ac.in/sites/default/files/Remission_of_fees_UGandM.Sc_._students_2026 Batch.pdf,data/raw/pdfs/0126.pdf
127,Indian Institute of Technology Bombay,academic,Office Memorandum for Scholarships/ Remission of fees UG & M.Sc. students (Phase B),English,https://acad.iitb.ac.in/sites/default/files/Remission_of_fees_UGandM.Sc_._students_2026 Batch_PhaseB.pdf,data/raw/pdfs/0127.pdf
128,Indian Institute of Technology Bombay,academic,Registration for Autumn Semester 2026-2027,English,https://acad.iitb.ac.in/sites/default/files/Autumn_Sem_2026_27_Registration_Circular.pdf,data/raw/pdfs/0128.pdf
129,Indian Institute of Technology Bombay,academic,Office Memorandum of Scholarships and Remission of fees for UG & M.Sc students for the Academic Year 2026-27.,English,https://acad.iitb.ac.in/sites/default/files/office_Memorandum_Phase_A _13th_April_2026_1.pdf,data/raw/pdfs/0129.pdf
130,Indian Institute of Technology Bombay,academic,Circular for APS presentation of Ph.D. students,English,https://acad.iitb.ac.in/sites/default/files/APS-Circular-2026-Autumn.pdf,data/raw/pdfs/0130.pdf
